ENG  291  01W Literatures in English after 1800,,L Hayes,TR,11:00 AM,12:20 PM,Hickok Hall,1.00
ENG  301  01W The Art of Literary Research,,G Hausknecht,TR,02:00 PM,03:20 PM,Hickok Hall,1.00
ENG  337  01W American Realism & Naturalism,,A Shaw,MW,03:30 PM,04:50 PM,Hickok Hall,1.00
ENG  454  01 Honors Research,,A Shaw,,00:00 AM,00:00 AM,Arranged,A1.00
ENG  467  01W Seminar inLit:USPluralism,,P Valderrama,T,03:30 PM,05:50 PM,Hickok Hall,1.00
English as a Second Lang,,,,,,,
ESL  105  01 Reading/Writing Studies/ Lab I,,K Welsh,TR,09:30 AM,10:50 AM,Struve Comm Ctr,0.00
ESL  115  01 Stuctr & Oral Present I,,K Keegan,MWF,10:00 AM,10:50 AM,Struve Comm Ctr,40.00
Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,,Credits
English as a Second Lang,,,,,,,
ESL  125  02 Pronounciation,K Welsh,MWF,02:00 PM,02:50 PM,Struve Comm Ctr,,0.00
ESL  235  01 Topics in Speaking & ListeningTOEIC,A Drexler,TR,12:30 PM,01:50 PM,Struve Comm Ctr,,0.00
ESL  235  02 Top Speak & Listen:American Culture,K Keegan,MWF,11:00 AM,11:50 AM,Struve Comm Ctr,,0.00
ESL  444  01 Independent Study,A Drexler,,00:00 AM,00:00 AM,Arranged,,A0.00
For nonnative English Speakers only.,,,,,,,
Film Studies,,,,,,,
FLM  105  01 Introduction to Film,K Lausch,TR,09:30 AM,10:50 AM,Hickok Hall,,1.00
FLM  105  02 Introduction to Film,K Lausch,MW,03:00 PM,04:20 PM,Stewart Mem Lib,,A1.00
FLM  105L 01 Introduction to Film Lab,K Lausch,,00:00 AM,00:00 AM,Arranged,,A0.00
FLM  105L 02 Introduction to Film Lab,K Lausch,,00:00 AM,00:00 AM,Arranged,,A0.00
FLM  225  01W Film History,K Lausch,TR,12:30 PM,01:50 PM,Hickok Hall,,1.00
FLM  225L 00 Film History Lab,K Lausch,,00:00 AM,00:00 AM,Arranged,,A0.00
FLM  250  01W Film Topics:The Vietnam War in Film,D Buckaloo,TR,02:00 PM,03:20 PM,Hickok Hall,,1.00
FLM  464  01 Seminar in Film I:,K Lausch,,00:00 AM,00:00 AM,Arranged,,A0.50
FLM  494  01 Internship in Film,G Hausknecht,,00:00 AM,00:00 AM,Arranged,,A1.00
French,,,,,,,
FRE  115  01 Elementary French I,J Janca-Aji,MWF,09:00 AM,09:50 AM,Hickok Hall,,1.00
